model_name,epoch,metric,value
Unet_scratch_ground,8,val_IOU,0.13220164
Unet_scratch_ground,9,val_IOU,0.13113067
Unet_scratch_ground,10,val_IOU,0.13231936
Unet_scratch_ground,11,val_IOU,0.13527283
Unet_scratch_ground,12,val_IOU,0.12726277
Unet_scratch_ground,13,val_IOU,0.13523516
Unet_scratch_ground,14,val_IOU,0.13463086
Unet_scratch_ground,15,val_IOU,0.1316233
Unet_scratch_ground,16,val_IOU,0.13404803
Unet_scratch_ground,17,val_IOU,0.13316187
Unet_scratch_ground,18,val_IOU,0.13372813
Unet_scratch_ground,19,val_IOU,0.13309169
vgg11_bn,0,train_bce_with_logits_loss,0.23349643101294834
vgg11_bn,0,train_iou_score,0.7204540713628133
vgg11_bn,0,val_bce_with_logits_loss,0.26038445967894336
vgg11_bn,0,val_iou_score,0.6681396947457242
